Truth,Decoded
Quanto costa il biglietto,io lo
Purtroppo non lo so pero potresti chiedere all autista,io lo
Va bene grazie lo stesso,io lo
Prego,io lo
Perfetto vorrei comprarne due.,io lo
Certo ecco a lei vuole un sacchetto,io lo
Si grazie e arrivederci,io lo
Le auguro una buona giornata,io lo
Buongiorno io sono Mario,io lo
Buonasera io sono Mario,io lo
Piacere Luigi come stai,io lo
Tutto bene tu,io lo
Salve quanto costa quell articolo,io lo
E in offerta costa dieci euro,io lo
Tutto bene grazie,io lo
Prendiamo un caffe al bar,io lo
"Certo volentieri, io lo prendero macchiato",io lo
A che ora arriva il pullman,io lo
Dovrebbe arrivare tra qualche minuto,io lo
Quanto costa il biglietto,tu lo
Purtroppo non lo so pero potresti chiedere all autista,io lo
Va bene grazie lo stesso,io lo
Prego,io lo
Perfetto vorrei comprarne due.,io lo
Certo ecco a lei vuole un sacchetto,io lo
Si grazie e arrivederci,io lo
Le auguro una buona giornata,io lo
Buongiorno io sono Mario,io lo
Buonasera io sono Mario,io lo
Piacere Luigi come stai,io lo
Tutto bene tu,io lo
Salve quanto costa quell articolo,io lo
