Truth,Decoded
Buonasera io sono Mario,prego mario
E in offerta costa dieci euro,e lei
Buongiorno io sono Mario,certo
Certo ecco a lei vuole un sacchetto,pretiltiri
Purtroppo non lo so pero potresti chiedere all autista,pero oirtista
Dovrebbe arrivare tra qualche minuto,prego si a certo
"Certo volentieri, io lo prendero macchiato",certotoeri io lo dromaiao
Salve quanto costa quell articolo,a le lo tu una io
Purtroppo non lo so pero potresti chiedere all autista,puropo lo lo lo lo potresti stai che autista
Piacere Luigi come stai,piacere io lo come stai
Le auguro una buona giornata,euro una sono
Quanto costa il biglietto,quanto costa buona bigito
Dovrebbe arrivare tra qualche minuto,lo e grazie so a so
Buonasera io sono Mario,buonasera lo sono lo mario
Perfetto vorrei comprarne due.,pbetrioi omlane
Tutto bene tu,tutobene tu
